"name","rxcui","source"
"Levomethadyl","237005","ndf-rt"
"Levomethadyl Acetate","","onc"
"Levonorgestrel","6373","ndf-rt"
"Levorphanol","6378","ndf-rt"
"Levothyroxine","10582","ndf-rt"
"Lidocaine","6387","ndf-rt"
"Lime Water","1910","ndf-rt"
"Linagliptin","1100699","ndf-rt"
"Lincomycins","6398","ndf-rt"
"Linezolid","190376","ndf-rt"
"Liothyronine","10814","ndf-rt"
"Liraglutide","475968","ndf-rt"
"Lisdexamfetamine","700810","ndf-rt"
"Lisinopril","29046","ndf-rt"
"Lithium","6448","ndf-rt"
"Lomefloxacin","28872","ndf-rt"
"Lomustine","6466","ndf-rt"
"Loperamide","6468","ndf-rt"
"Lopinavir","","onc"
"Loratadine","28889","ndf-rt"
"Lorazepam","6470","ndf-rt"
"Losartan","52175","ndf-rt"
"Lovastatin","6472","ndf-rt"
"Loxapine","6475","ndf-rt"
"Lurasidone","1040028","ndf-rt"
"Lyme Disease Vaccine","214177","ndf-rt"
"Lysine","6536","ndf-rt"
"Magaldrate","29151","ndf-rt"
"Magnesium Salicylate","52364","ndf-rt"
"Mannitol","6628","ndf-rt"
"Mannitol Hexanitrate","89792","ndf-rt"
"Maprotiline","6646","ndf-rt"
"Maraviroc","620216","ndf-rt"
"Mazindol","6664","ndf-rt"
"Mebendazole","6672","ndf-rt"
"Mecamylamine","6673","ndf-rt"
"Mechlorethamine","6674","ndf-rt"
"Meclofenamate","588003","ndf-rt"
"Medroxyprogesterone","6691","ndf-rt"
"Mefenamic Acid","6693","ndf-rt"
"Mefloquine","6694","ndf-rt"
"Megestrol","6703","ndf-rt"
"Melatonin","6711","ndf-rt"
"Meloxicam","41493","ndf-rt"
"Melphalan","6718","ndf-rt"
"Memantine","6719","ndf-rt"
"M-End","218126","ndf-rt"
"Menthol","6750","ndf-rt"
"Mepenzolate","107770","ndf-rt"
"Meperidine","6754","ndf-rt"
"Mephentermine","6756","ndf-rt"
"Mephenytoin","6757","ndf-rt"
"Mephobarbital","6758","ndf-rt"
"Mepivacaine","6759","ndf-rt"
"Meprobamate","6760","ndf-rt"
"Mercaptopurine","103","ndf-rt"
"Meropenem","29561","ndf-rt"
"Mesalamine","52582","ndf-rt"
"Mesoridazine","","onc"
"Mesoridazine Besylate","203186","ndf-rt"
"Metaproterenol","7688","ndf-rt"
"Metaraminol Bitartrate","6806","ndf-rt"
"Metaxalone","59078","ndf-rt"
"Metformin","6809","ndf-rt"
"Methadone","6813","ndf-rt"
"Methamphetamine","6816","ndf-rt"
"Methandrostenolone","6818","ndf-rt"
"Methantheline","6821","ndf-rt"
"Metharbital","6825","ndf-rt"
"Methazolamide","6826","ndf-rt"
"Methdilazine","29648","ndf-rt"
"Methimazole","6835","ndf-rt"
"Methohexital","6847","ndf-rt"
"Methotrexate","6851","ndf-rt"
"Methotrimeprazine","6852","ndf-rt"
"Methoxamine","6853","ndf-rt"
"Methoxsalen","6854","ndf-rt"
"Methoxyflurane","6857","ndf-rt"
"Methscopolamine","89785","ndf-rt"
"Methyclothiazide","6860","ndf-rt"
"Methyl Salicylate","29787","ndf-rt"
"Methylbenzethonium Chloride","29829","ndf-rt"
"Methylcellulose","6873","ndf-rt"
"Methylcobalamin","29421","ndf-rt"
