"name_a","name_b","severity","rxcui_a","rxcui_b","sources"
"Potassium Chloride","Procyclidine","reported","8591","8718","ndf-rt"
"Potassium Chloride","Propantheline","reported","8591","8761","ndf-rt"
"Potassium Chloride","Tridihexethyl","reported","8591","38617","ndf-rt"
"Potassium Chloride","Trihexyphenidyl","reported","8591","10811","ndf-rt"
"Potassium Chloride","Fosinopril","reported","8591","50166","ndf-rt"
"Potassium Chloride","Quinapril","reported","8591","35208","ndf-rt"
"Potassium Chloride","Benazepril","reported","8591","18867","ndf-rt"
"Potassium Chloride","Losartan","reported","8591","52175","ndf-rt"
"Potassium Chloride","Trandolapril","reported","8591","38454","ndf-rt"
"Potassium Chloride","Valsartan","reported","8591","69749","ndf-rt"
"Potassium Chloride","Acitretin","reported","8591","16818","ndf-rt"
"Potassium Chloride","Irbesartan","reported","8591","83818","ndf-rt"
"Potassium Chloride","Telmisartan","reported","8591","73494","ndf-rt"
"Potassium Chloride","Candesartan","reported","8591","214354","ndf-rt"
"Potassium Chloride","Perindopril","reported","8591","54552","ndf-rt"
"Potassium Chloride","Eprosartan","reported","8591","83515","ndf-rt"
"Potassium Chloride","Sodium Oxybate","reported","8591","9899","ndf-rt"
"Potassium Chloride","Eplerenone","severe","8591","298869","ndf-rt+openfda"
"Potassium Chloride","Tinidazole","reported","8591","10612","ndf-rt"
"Potassium Chloride","Trospium","reported","8591","236778","ndf-rt"
"Potassium Chloride","Isopropamide","reported","8591","89784","ndf-rt"
"Potassium Chloride","Moexipril","reported","8591","30131","ndf-rt"
"Potassium Chloride","Tolterodine","reported","8591","119565","ndf-rt"
"Potassium Chloride","Solifenacin","reported","8591","322167","ndf-rt"
"Potassium Chloride","Darifenacin","reported","8591","136198","ndf-rt"
"Potassium Chloride","Aliskiren","moderate","8591","325646","ndf-rt+openfda"
"Potassium Chloride","Fesoterodine","reported","8591","797195","ndf-rt"
"Potassium Chloride","Azilsartan","reported","8591","1091643","ndf-rt"
"Metocurine Iodide","Neomycin","reported","203206","7299","ndf-rt"
"Metocurine Iodide","Tobramycin","reported","203206","10627","ndf-rt"
"Metocurine Iodide","Amikacin","reported","203206","641","ndf-rt"
"Metocurine Iodide","Gentamicin Sulfate","reported","203206","142438","ndf-rt"
"Metocurine Iodide","Kanamycin","reported","203206","6099","ndf-rt"
"Metocurine Iodide","Netilmicin","reported","203206","7337","ndf-rt"
"Metocurine Iodide","Streptomycin","reported","203206","10109","ndf-rt"
"Metocurine Iodide","Sevoflurane","reported","203206","36453","ndf-rt"
"Metocurine Iodide","Varicella","reported","203206","11131","ndf-rt"
"Progesterone","Phenprocoumon","reported","8727","8150","ndf-rt"
"Progesterone","Dicumarol","reported","8727","1598","ndf-rt"
"Progesterone","Anisindione","reported","8727","17941","ndf-rt"
"Progesterone","Warfarin","reported","8727","11289","ndf-rt"
"Progesterone","Ulipristal","reported","8727","1005921","ndf-rt"
"Sodium Citrate","Pseudoephedrine","reported","56466","8896","ndf-rt"
"Sodium Citrate","Ketoconazole","reported","56466","6135","ndf-rt"
"Sodium Citrate","Ephedrine","reported","56466","3966","ndf-rt"
"Sodium Citrate","Itraconazole","reported","56466","28031","ndf-rt"
"Silver Nitrate","Sulfacetamide","reported","9789","10169","ndf-rt"
"Vitamin C","Bortezomib","reported","1151","358258","ndf-rt"
"Thimerosal","Cyclothiazide","reported","10472","22033","ndf-rt"
"Thimerosal","Caffeine","reported","10472","1886","ndf-rt"
"Thimerosal","Bendroflumethiazide","reported","10472","1369","ndf-rt"
"Thimerosal","Captopril","reported","10472","1998","ndf-rt"
"Thimerosal","Hydrochlorothiazide","reported","10472","5487","ndf-rt"
"Thimerosal","Tetracycline","reported","10472","10395","ndf-rt"
"Thimerosal","Chlorothiazide","reported","10472","2396","ndf-rt"
"Thimerosal","Mannitol","reported","10472","6628","ndf-rt"
"Thimerosal","Doxycycline","reported","10472","3640","ndf-rt"
"Thimerosal","Bumetanide","reported","10472","1808","ndf-rt"
"Thimerosal","Isosorbide Dinitrate","reported","10472","6058","ndf-rt"
"Thimerosal","Furosemide","reported","10472","4603","ndf-rt"
"Thimerosal","Metronidazole","reported","10472","6922","ndf-rt"
"Thimerosal","Ibuprofen","reported","10472","5640","ndf-rt"
"Thimerosal","Spironolactone","reported","10472","9997","ndf-rt"
"Thimerosal","Chlorthalidone","reported","10472","2409","ndf-rt"
"Thimerosal","Indomethacin","reported","10472","5781","ndf-rt"
"Thimerosal","Quinethazone","reported","10472","59743","ndf-rt"
"Thimerosal","Triamterene","reported","10472","10763","ndf-rt"
"Thimerosal","Ethacrynic Acid","reported","10472","4109","ndf-rt"
"Thimerosal","Sulindac","reported","10472","10237","ndf-rt"
